Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Banana (Ripening),-,-,-,Mukuyu Market, - ,50.00/Kg,,Muranga,2026-02-11
Banana (Ripening),-,-,-,Mulot,70.00/Kg,100.00/Kg,1500,Bomet,2026-02-11
Banana (Ripening),-,-,-,Kitale Municipality Market,80.00/Kg,100.00/Kg,6000,Trans-Nzoia,2026-02-11
Banana (Ripening),-,-,-,Kerugoya,20.00/Kg,40.00/Kg,300,Kirinyaga,2026-02-10
Banana (Ripening),-,-,-,Bondeni,80.00/Kg,100.00/Kg,5000,Trans-Nzoia,2026-02-10
Banana (Ripening),-,-,-,Maua,20.00/Kg,30.00/Kg,1500,Meru,2026-02-10
Banana (Ripening),-,-,-,Wundanyi, - ,80.00/Kg,1000,Taita-Taveta,2026-02-10
Banana (Ripening),-,-,-,Kitale Municipality Market,80.00/Kg,100.00/Kg,5000,Trans-Nzoia,2026-02-10
Banana (Ripening),-,-,-,Kabati - Muranga, - ,40.00/Kg,,Muranga,2026-02-09
Banana (Ripening),-,-,-,Kutus,17.00/Kg,20.00/Kg,24000,Kirinyaga,2026-02-09
Banana (Ripening),-,-,-,Kangeta,40.00/Kg,50.00/Kg,800,Meru,2026-02-09
Banana (Ripening),-,-,-,Kitale Municipality Market,80.00/Kg,100.00/Kg,10000,Trans-Nzoia,2026-02-09
Banana (Ripening),-,-,-,Kibuye, - ,166.67/Kg,,Kisumu,2026-02-08
Banana (Ripening),-,-,-,Makutano Embu,35.00/Kg,50.00/Kg,,Embu,2026-02-07
Banana (Ripening),-,-,-,Makutano Kirinyaga,35.00/Kg,50.00/Kg,2350,Kirinyaga,2026-02-07
Banana (Ripening),-,-,-,Mumias, - ,47.62/Kg,,Kakamega,2026-02-06
Banana (Ripening),-,-,-,Kangeta,40.00/Kg,50.00/Kg,800,Meru,2026-02-06
Banana (Ripening),-,-,-,Ndanai Market,17.00/Kg,50.00/Kg,15000,Bomet,2026-02-06
Banana (Ripening),-,-,-,Kerugoya,20.00/Kg,40.00/Kg,300,Kirinyaga,2026-02-05
Banana (Ripening),-,-,-,Kinango,48.00/Kg,70.00/Kg,2500,Kwale,2026-02-05
Banana (Ripening),-,-,-,Kagio,40.00/Kg,60.00/Kg,30000,Kirinyaga,2026-02-05
Banana (Ripening),-,-,-,Mukuyu Market, - ,50.00/Kg,,Muranga,2026-02-04
Banana (Ripening),-,-,-,Maua,20.00/Kg,30.00/Kg,1800,Meru,2026-02-03
Banana (Ripening),-,-,-,Kerugoya,20.00/Kg,50.00/Kg,300,Kirinyaga,2026-02-03
Banana (Ripening),-,-,-,Voi Retail, - ,10.00/Kg,200,Taita-Taveta,2026-02-03
Banana (Ripening),-,-,-,Kibuye, - ,200.00/Kg,,Kisumu,2026-02-01
Banana (Ripening),-,-,-,Makutano Embu,30.00/Kg,45.00/Kg,,Embu,2026-01-31
Banana (Ripening),-,-,-,Makutano Kirinyaga,30.00/Kg,45.00/Kg,1200,Kirinyaga,2026-01-31
Banana (Ripening),-,-,-,Kabati - Muranga, - ,35.00/Kg,,Muranga,2026-01-31
Banana (Ripening),-,-,-,Ndanai Market,16.00/Kg,50.00/Kg,10000,Bomet,2026-01-30
Banana (Ripening),-,-,-,Mumias, - ,55.56/Kg,,Kakamega,2026-01-30
Banana (Ripening),-,-,-,Wundanyi, - ,80.00/Kg,300,Taita-Taveta,2026-01-30
Banana (Ripening),-,-,-,Kitale Municipality Market,80.00/Kg,100.00/Kg,4000,Trans-Nzoia,2026-01-30
Banana (Ripening),-,-,-,Kutus,17.00/Kg,20.00/Kg,20000,Kirinyaga,2026-01-29
Banana (Ripening),-,-,-,Kinango,45.00/Kg,65.00/Kg,2500,Kwale,2026-01-29
Banana (Ripening),-,-,-,Kerugoya,20.00/Kg,40.00/Kg,300,Kirinyaga,2026-01-29
