Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,102.22/Kg,165.00/Kg,5480,Kirinyaga,2026-02-11
Beans Red Haricot (Wairimu),-,-,-,Mukuyu Market, - ,125.00/Kg,,Muranga,2026-02-11
Beans Red Haricot (Wairimu),-,-,-,Makutano Kirinyaga,80.00/Kg,110.00/Kg,2100,Kirinyaga,2026-02-11
Beans Red Haricot (Wairimu),-,-,-,Kitale Municipality Market,110.00/Kg,140.00/Kg,200,Trans-Nzoia,2026-02-11
Beans Red Haricot (Wairimu),-,-,-,Kerugoya,120.00/Kg,150.00/Kg,2700,Kirinyaga,2026-02-10
Beans Red Haricot (Wairimu),-,-,-,Bondeni,96.67/Kg,111.11/Kg,300,Trans-Nzoia,2026-02-10
Beans Red Haricot (Wairimu),-,-,-,Holo,175.00/Kg,200.00/Kg,,Kisumu,2026-02-10
Beans Red Haricot (Wairimu),-,-,-,Nkubu,111.11/Kg,120.00/Kg,630,Meru,2026-02-10
Beans Red Haricot (Wairimu),-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-10
Beans Red Haricot (Wairimu),-,-,-,Kawangware,80.00/Kg,90.00/Kg,,Nairobi,2026-02-10
Beans Red Haricot (Wairimu),-,-,-,Kitale Municipality Market,110.00/Kg,140.00/Kg,300,Trans-Nzoia,2026-02-10
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,102.22/Kg,165.00/Kg,6500,Kirinyaga,2026-02-09
Beans Red Haricot (Wairimu),-,-,-,Kawangware,80.00/Kg,90.00/Kg,,Nairobi,2026-02-09
Beans Red Haricot (Wairimu),-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-09
Beans Red Haricot (Wairimu),-,-,-,Kibuye, - ,200.00/Kg,,Kisumu,2026-02-08
Beans Red Haricot (Wairimu),-,-,-,Muhoroni,115.38/Kg,123.08/Kg,1300,Kisumu,2026-02-08
Beans Red Haricot (Wairimu),-,-,-,Makutano Embu,100.00/Kg,135.00/Kg,,Embu,2026-02-07
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,100.00/Kg,135.00/Kg,6700,Kirinyaga,2026-02-06
Beans Red Haricot (Wairimu),-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-06
Beans Red Haricot (Wairimu),-,-,-,Mumias, - ,166.67/Kg,,Kakamega,2026-02-06
Beans Red Haricot (Wairimu),-,-,-,Kawangware,80.00/Kg,90.00/Kg,,Nairobi,2026-02-06
Beans Red Haricot (Wairimu),-,-,-,Kerugoya,120.00/Kg,150.00/Kg,2700,Kirinyaga,2026-02-05
Beans Red Haricot (Wairimu),-,-,-,Kawangware,80.00/Kg,90.00/Kg,,Nairobi,2026-02-05
Beans Red Haricot (Wairimu),-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-05
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,102.22/Kg,160.00/Kg,6210,Kirinyaga,2026-02-04
Beans Red Haricot (Wairimu),-,-,-,Mukuyu Market, - ,150.00/Kg,,Muranga,2026-02-04
Beans Red Haricot (Wairimu),-,-,-,Kawangware,80.00/Kg,90.00/Kg,,Nairobi,2026-02-04
Beans Red Haricot (Wairimu),-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-04
Beans Red Haricot (Wairimu),-,-,-,Holo,175.00/Kg,200.00/Kg,,Kisumu,2026-02-03
Beans Red Haricot (Wairimu),-,-,-,Kerugoya,120.00/Kg,150.00/Kg,2700,Kirinyaga,2026-02-03
Beans Red Haricot (Wairimu),-,-,-,Nkubu,111.11/Kg,120.00/Kg,540,Meru,2026-02-03
Beans Red Haricot (Wairimu),-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-03
Beans Red Haricot (Wairimu),-,-,-,Kawangware,80.00/Kg,90.00/Kg,,Nairobi,2026-02-02
Beans Red Haricot (Wairimu),-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-02
Beans Red Haricot (Wairimu),-,-,-,Kibuye, - ,200.00/Kg,,Kisumu,2026-02-01
Beans Red Haricot (Wairimu),-,-,-,Muhoroni,115.38/Kg,134.62/Kg,200,Kisumu,2026-02-01
Beans Red Haricot (Wairimu),-,-,-,Khayega,112.50/Kg,125.00/Kg,1800,Kakamega,2026-02-01
Beans Red Haricot (Wairimu),-,-,-,Makutano Embu,100.00/Kg,160.00/Kg,,Embu,2026-01-31
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,100.00/Kg,160.00/Kg,4800,Kirinyaga,2026-01-31
