Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,1850,Kirinyaga,2026-02-11
Meat Beef,-,-,-,Mukuyu Market,580.00/Kg,600.00/Kg,,Muranga,2026-02-11
Meat Beef,-,-,-,Ngundune,600.00/Kg,700.00/Kg,1600,Meru,2026-02-10
Meat Beef,-,-,-,Holo, - ,600.00/Kg,,Kisumu,2026-02-10
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,1850,Kirinyaga,2026-02-09
Meat Beef,-,-,-,Kutus,650.00/Kg,700.00/Kg,,Kirinyaga,2026-02-09
Meat Beef,-,-,-,Kibuye, - ,800.00/Kg,,Kisumu,2026-02-08
Meat Beef,-,-,-,Muhoroni, - ,700.00/Kg,1000,Kisumu,2026-02-08
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2700,Kirinyaga,2026-02-06
Meat Beef,-,-,-,Katito, - ,650.00/Kg,6500,Kisumu,2026-02-05
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2500,Kirinyaga,2026-02-04
Meat Beef,-,-,-,Mukuyu Market,580.00/Kg,600.00/Kg,,Muranga,2026-02-04
Meat Beef,-,-,-,Holo, - ,600.00/Kg,,Kisumu,2026-02-03
Meat Beef,-,-,-,Ngundune,70.00/Kg,80.00/Kg,1500,Meru,2026-02-03
Meat Beef,-,-,-,Kibuye, - ,800.00/Kg,,Kisumu,2026-02-01
Meat Beef,-,-,-,Muhoroni, - ,700.00/Kg,1000,Kisumu,2026-02-01
Meat Beef,-,-,-,Makutano Embu,500.00/Kg,700.00/Kg,,Embu,2026-01-31
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2500,Kirinyaga,2026-01-31
Meat Beef,-,-,-,Kagio,500.00/Kg,650.00/Kg,,Kirinyaga,2026-01-30
Meat Beef,-,-,-,Katito, - ,650.00/Kg,6500,Kisumu,2026-01-29
Meat Beef,-,-,-,Kutus,550.00/Kg,700.00/Kg,,Kirinyaga,2026-01-29
Meat Beef,-,-,-,Holo, - ,600.00/Kg,,Kisumu,2026-01-27
Meat Beef,-,-,-,Ngundune,600.00/Kg,700.00/Kg,3000,Meru,2026-01-27
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,1950,Kirinyaga,2026-01-26
Meat Beef,-,-,-,Muhoroni, - ,700.00/Kg,1200,Kisumu,2026-01-25
Meat Beef,-,-,-,Kibuye, - ,800.00/Kg,,Kisumu,2026-01-25
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2700,Kirinyaga,2026-01-23
Meat Beef,-,-,-,Katito, - ,700.00/Kg,7500,Kisumu,2026-01-22
Meat Beef,-,-,-,Makutano Kirinyaga,550.00/Kg,700.00/Kg,1800,Kirinyaga,2026-01-22
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2150,Kirinyaga,2026-01-20
Meat Beef,-,-,-,Ngundune,600.00/Kg,700.00/Kg,3000,Meru,2026-01-20
Meat Beef,-,-,-,Ngurubani Market,150.00/Kg,170.00/Kg,145000,Kirinyaga,2026-01-16
Meat Beef,-,-,-,Ngundune,600.00/Kg,700.00/Kg,3500,Meru,2026-01-15
Meat Beef,-,-,-,Mukuyu Market, - ,600.00/Kg,,Muranga,2026-01-14
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2500,Kirinyaga,2026-01-13
Meat Beef,-,-,-,Holo, - ,600.00/Kg,,Kisumu,2026-01-13
Meat Beef,-,-,-,Kibuye, - ,800.00/Kg,,Kisumu,2026-01-11
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,1580,Kirinyaga,2026-01-09
Meat Beef,-,-,-,Makutano Embu,500.00/Kg,700.00/Kg,,Embu,2026-01-07
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2500,Kirinyaga,2026-01-06
Meat Beef,-,-,-,Kagio,550.00/Kg,650.00/Kg,,Kirinyaga,2026-01-06
Meat Beef,-,-,-,Ngundune,600.00/Kg,700.00/Kg,1500,Meru,2026-01-06
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2700,Kirinyaga,2025-12-31
Meat Beef,-,-,-,Kibuye, - ,1000.00/Kg,,Kisumu,2025-12-28
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2540,Kirinyaga,2025-12-27
Meat Beef,-,-,-,Kagio,500.00/Kg,650.00/Kg,,Kirinyaga,2025-12-24
Meat Beef,-,-,-,Ngundune,600.00/Kg,700.00/Kg,3500,Meru,2025-12-23
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,3500,Kirinyaga,2025-12-23
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,2700,Kirinyaga,2025-12-19
Meat Beef,-,-,-,Makutano Embu,500.00/Kg,700.00/Kg,,Embu,2025-12-17
Meat Beef,-,-,-,Mukuyu Market,550.00/Kg,600.00/Kg,,Muranga,2025-12-17
Meat Beef,-,-,-,Makutano Kirinyaga,500.00/Kg,700.00/Kg,1800,Kirinyaga,2025-12-17
Meat Beef,-,-,-,Holo, - ,600.00/Kg,,Kisumu,2025-12-16
Meat Beef,-,-,-,Ngundune,600.00/Kg,700.00/Kg,2500,Meru,2025-12-16
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,35800,Kirinyaga,2025-12-15
Meat Beef,-,-,-,Kibuye, - ,800.00/Kg,,Kisumu,2025-12-14
Meat Beef,-,-,-,Makutano Embu,500.00/Kg,700.00/Kg,,Embu,2025-12-13
Meat Beef,-,-,-,Ngurubani Market,500.00/Kg,700.00/Kg,3500,Kirinyaga,2025-12-12
Meat Beef,-,-,-,Kagio,500.00/Kg,650.00/Kg,,Kirinyaga,2025-12-11
Meat Beef,-,-,-,Mukuyu Market,550.00/Kg,600.00/Kg,,Muranga,2025-12-10
Meat Beef,-,-,-,Ngurubani Market,600.00/Kg,700.00/Kg,2700,Kirinyaga,2025-12-09
Meat Beef,-,-,-,Holo, - ,600.00/Kg,,Kisumu,2025-12-09
Meat Beef,-,-,-,Kagio,500.00/Kg,650.00/Kg,,Kirinyaga,2025-12-09
Meat Beef,-,-,-,Ngundune,600.00/Kg,700.00/Kg,1500,Meru,2025-12-09
