Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Cowpeas,-,-,-,Ngurubani Market,103.33/Kg,175.00/Kg,1250,Kirinyaga,2026-02-11
Cowpeas,-,-,-,Makutano Kirinyaga,100.00/Kg,130.00/Kg,1300,Kirinyaga,2026-02-11
Cowpeas,-,-,-,Kitale Municipality Market,150.00/Kg,170.00/Kg,300,Trans-Nzoia,2026-02-11
Cowpeas,-,-,-,Kerugoya,100.00/Kg,140.00/Kg,2300,Kirinyaga,2026-02-10
Cowpeas,-,-,-,Bondeni,150.00/Kg,175.00/Kg,400,Trans-Nzoia,2026-02-10
Cowpeas,-,-,-,Maua,100.00/Kg,120.00/Kg,1800,Meru,2026-02-10
Cowpeas,-,-,-,Holo,225.00/Kg,250.00/Kg,,Kisumu,2026-02-10
Cowpeas,-,-,-,Nkubu,100.00/Kg,120.00/Kg,810,Meru,2026-02-10
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-10
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-02-10
Cowpeas,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,200,Trans-Nzoia,2026-02-10
Cowpeas,-,-,-,Ngurubani Market,105.56/Kg,170.00/Kg,1050,Kirinyaga,2026-02-09
Cowpeas,-,-,-,Kangeta,100.00/Kg,110.00/Kg,1200,Meru,2026-02-09
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-02-09
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-09
Cowpeas,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,400,Trans-Nzoia,2026-02-09
Cowpeas,-,-,-,Kibuye, - ,150.00/Kg,,Kisumu,2026-02-08
Cowpeas,-,-,-,Muhoroni,240.00/Kg,260.00/Kg,200,Kisumu,2026-02-08
Cowpeas,-,-,-,Kangeta,10.00/Kg,110.00/Kg,350,Meru,2026-02-06
Cowpeas,-,-,-,Mumias, - ,130.43/Kg,,Kakamega,2026-02-06
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-06
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-02-06
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2300,Kirinyaga,2026-02-05
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-02-05
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-05
Cowpeas,-,-,-,Ngurubani Market,105.56/Kg,165.00/Kg,890,Kirinyaga,2026-02-04
Cowpeas,-,-,-,Kawangware,80.00/Kg,100.00/Kg,,Nairobi,2026-02-04
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-04
Cowpeas,-,-,-,Maua,100.00/Kg,120.00/Kg,2160,Meru,2026-02-03
Cowpeas,-,-,-,Holo,225.00/Kg,250.00/Kg,,Kisumu,2026-02-03
Cowpeas,-,-,-,Kerugoya,120.00/Kg,150.00/Kg,2200,Kirinyaga,2026-02-03
Cowpeas,-,-,-,Nkubu,100.00/Kg,120.00/Kg,810,Meru,2026-02-03
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-03
Cowpeas,-,-,-,Voi Retail, - ,140.00/Kg,180,Taita-Taveta,2026-02-03
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-02-02
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-02-02
Cowpeas,-,-,-,Kibuye, - ,150.00/Kg,,Kisumu,2026-02-01
Cowpeas,-,-,-,Muhoroni,240.00/Kg,300.00/Kg,600,Kisumu,2026-02-01
Cowpeas,-,-,-,Makutano Embu,100.00/Kg,160.00/Kg,,Embu,2026-01-31
Cowpeas,-,-,-,Makutano Embu,100.00/Kg,160.00/Kg,,Embu,2026-01-31
Cowpeas,-,-,-,Ngurubani Market,100.00/Kg,160.00/Kg,1850,Kirinyaga,2026-01-31
Cowpeas,-,-,-,Kisasi,60.00/Kg,80.00/Kg,,Kitui,2026-01-30
Cowpeas,-,-,-,Mumias, - ,190.91/Kg,,Kakamega,2026-01-30
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-01-30
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-01-30
Cowpeas,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,300,Trans-Nzoia,2026-01-30
Cowpeas,-,-,-,Kutus,94.00/Kg,125.00/Kg,,Kirinyaga,2026-01-29
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2250,Kirinyaga,2026-01-29
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-01-29
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-01-29
Cowpeas,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,400,Trans-Nzoia,2026-01-29
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-01-28
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-01-28
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2200,Kirinyaga,2026-01-27
Cowpeas,-,-,-,Holo,225.00/Kg,250.00/Kg,,Kisumu,2026-01-27
Cowpeas,-,-,-,Ahero,175.00/Kg,175.00/Kg,4000,Kisumu,2026-01-27
Cowpeas,-,-,-,Bondeni,150.00/Kg,175.00/Kg,300,Trans-Nzoia,2026-01-27
Cowpeas,-,-,-,Maua,100.00/Kg,120.00/Kg,1800,Meru,2026-01-27
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-01-27
Cowpeas,-,-,-,Nkubu,100.00/Kg,120.00/Kg,630,Meru,2026-01-27
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-01-27
Cowpeas,-,-,-,Ngurubani Market,100.00/Kg,150.00/Kg,820,Kirinyaga,2026-01-26
Cowpeas,-,-,-,Kangeta,90.00/Kg,100.00/Kg,300,Meru,2026-01-26
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-01-26
Cowpeas,-,-,-,Muhoroni,230.77/Kg,288.46/Kg,1000,Kisumu,2026-01-25
Cowpeas,-,-,-,Kibuye, - ,150.00/Kg,,Kisumu,2026-01-25
Cowpeas,-,-,-,Makutano Embu,90.00/Kg,120.00/Kg,,Embu,2026-01-24
Cowpeas,-,-,-,Makutano Kirinyaga,90.00/Kg,120.00/Kg,1200,Kirinyaga,2026-01-24
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2300,Kirinyaga,2026-01-23
Cowpeas,-,-,-,Ngurubani Market,105.56/Kg,135.00/Kg,9000,Kirinyaga,2026-01-23
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-01-23
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-01-23
Cowpeas,-,-,-,Mumias, - ,136.36/Kg,,Kakamega,2026-01-23
Cowpeas,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,300,Trans-Nzoia,2026-01-23
Cowpeas,-,-,-,Katito,158.89/Kg,163.55/Kg,2500,Kisumu,2026-01-22
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-01-22
Cowpeas,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,400,Trans-Nzoia,2026-01-22
Cowpeas,-,-,-,Kangeta,90.00/Kg,100.00/Kg,300,Meru,2026-01-21
Cowpeas,-,-,-,Kawangware,80.00/Kg,90.00/Kg,,Nairobi,2026-01-21
Cowpeas,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,300,Trans-Nzoia,2026-01-21
Cowpeas,-,-,-,Ngurubani Market,100.00/Kg,150.00/Kg,1250,Kirinyaga,2026-01-20
Cowpeas,-,-,-,Maua,100.00/Kg,120.00/Kg,1800,Meru,2026-01-20
Cowpeas,-,-,-,Bondeni,150.00/Kg,175.00/Kg,300,Trans-Nzoia,2026-01-20
Cowpeas,-,-,-,Ahero,160.00/Kg,175.00/Kg,990,Kisumu,2026-01-20
Cowpeas,-,-,-,Nkubu,66.67/Kg,80.00/Kg,810,Meru,2026-01-20
Cowpeas,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,300,Trans-Nzoia,2026-01-20
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2300,Kirinyaga,2026-01-19
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-01-19
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2026-01-19
Cowpeas,-,-,-,Muhoroni,230.77/Kg,288.46/Kg,500,Kisumu,2026-01-18
Cowpeas,-,-,-,Ngurubani Market,100.00/Kg,135.00/Kg,9000,Kirinyaga,2026-01-16
Cowpeas,-,-,-,Mumias, - ,130.43/Kg,,Kakamega,2026-01-16
Cowpeas,-,-,-,Kerugoya,100.00/Kg,140.00/Kg,2300,Kirinyaga,2026-01-15
Cowpeas,-,-,-,Maua,100.00/Kg,120.00/Kg,1800,Meru,2026-01-15
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2026-01-15
Cowpeas,-,-,-,Kangeta,90.00/Kg,100.00/Kg,300,Meru,2026-01-14
Cowpeas,-,-,-,Ahero,165.00/Kg,175.00/Kg,900,Kisumu,2026-01-13
Cowpeas,-,-,-,Ngurubani Market,102.22/Kg,162.50/Kg,850,Kirinyaga,2026-01-13
Cowpeas,-,-,-,Holo,225.00/Kg,250.00/Kg,,Kisumu,2026-01-13
Cowpeas,-,-,-,Musoli Market,124.44/Kg,125.00/Kg,990,Kakamega,2026-01-13
Cowpeas,-,-,-,Nkubu,66.67/Kg,80.00/Kg,630,Meru,2026-01-13
Cowpeas,-,-,-,Kagio,90.00/Kg,130.00/Kg,,Kirinyaga,2026-01-13
Cowpeas,-,-,-,Kutus,94.00/Kg,125.00/Kg,,Kirinyaga,2026-01-12
Cowpeas,-,-,-,Kerugoya,100.00/Kg,130.00/Kg,2250,Kirinyaga,2026-01-12
Cowpeas,-,-,-,Kibuye, - ,150.00/Kg,,Kisumu,2026-01-11
Cowpeas,-,-,-,Ngurubani Market,100.00/Kg,160.00/Kg,1420,Kirinyaga,2026-01-09
Cowpeas,-,-,-,Kisasi,60.00/Kg,70.00/Kg,,Kitui,2026-01-09
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2300,Kirinyaga,2026-01-08
Cowpeas,-,-,-,Kangeta,90.00/Kg,100.00/Kg,200,Meru,2026-01-07
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2200,Kirinyaga,2026-01-06
Cowpeas,-,-,-,Ahero,165.00/Kg,175.00/Kg,900,Kisumu,2026-01-06
Cowpeas,-,-,-,Nkubu,66.67/Kg,80.00/Kg,720,Meru,2026-01-06
Cowpeas,-,-,-,Maua,100.00/Kg,120.00/Kg,2700,Meru,2026-01-06
Cowpeas,-,-,-,Ngurubani Market,102.22/Kg,165.00/Kg,2500,Kirinyaga,2026-01-02
Cowpeas,-,-,-,Ngurubani Market,100.00/Kg,135.00/Kg,9000,Kirinyaga,2025-12-31
Cowpeas,-,-,-,Maua,100.00/Kg,120.00/Kg,1350,Meru,2025-12-30
Cowpeas,-,-,-,Nkubu,66.67/Kg,80.00/Kg,720,Meru,2025-12-30
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2300,Kirinyaga,2025-12-29
Cowpeas,-,-,-,Kangeta,90.00/Kg,100.00/Kg,250,Meru,2025-12-29
Cowpeas,-,-,-,Kibuye, - ,150.00/Kg,,Kisumu,2025-12-28
Cowpeas,-,-,-,Ngurubani Market,102.22/Kg,175.00/Kg,1250,Kirinyaga,2025-12-27
Cowpeas,-,-,-,Makutano Kirinyaga,105.00/Kg,125.00/Kg,1600,Kirinyaga,2025-12-27
Cowpeas,-,-,-,Makutano Kirinyaga,100.00/Kg,120.00/Kg,2300,Kirinyaga,2025-12-24
Cowpeas,-,-,-,Maua,77.78/Kg,80.00/Kg,1980,Meru,2025-12-24
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2300,Kirinyaga,2025-12-24
Cowpeas,-,-,-,Kangeta,90.00/Kg,100.00/Kg,250,Meru,2025-12-24
Cowpeas,-,-,-,Ngurubani Market,100.00/Kg,150.00/Kg,2140,Kirinyaga,2025-12-23
Cowpeas,-,-,-,Nkubu,66.67/Kg,80.00/Kg,630,Meru,2025-12-23
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2200,Kirinyaga,2025-12-22
Cowpeas,-,-,-,Makutano Kirinyaga,100.00/Kg,120.00/Kg,900,Kirinyaga,2025-12-20
Cowpeas,-,-,-,Makutano Kirinyaga,90.00/Kg,110.00/Kg,1900,Kirinyaga,2025-12-20
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2300,Kirinyaga,2025-12-19
Cowpeas,-,-,-,Mumias, - ,173.91/Kg,,Kakamega,2025-12-19
Cowpeas,-,-,-,Makutano Embu,102.00/Kg,155.00/Kg,,Embu,2025-12-17
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2300,Kirinyaga,2025-12-17
Cowpeas,-,-,-,Holo,225.00/Kg,250.00/Kg,,Kisumu,2025-12-16
Cowpeas,-,-,-,Ahero,125.00/Kg,140.00/Kg,3900,Kisumu,2025-12-16
Cowpeas,-,-,-,Nkubu,66.67/Kg,80.00/Kg,810,Meru,2025-12-16
Cowpeas,-,-,-,Maua,77.78/Kg,80.00/Kg,1800,Meru,2025-12-16
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2025-12-16
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2025-12-16
Cowpeas,-,-,-,Kangeta,90.00/Kg,100.00/Kg,200,Meru,2025-12-15
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2250,Kirinyaga,2025-12-15
Cowpeas,-,-,-,Ngurubani Market,102.22/Kg,155.00/Kg,1500,Kirinyaga,2025-12-15
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2025-12-15
Cowpeas,-,-,-,Kibuye, - ,150.00/Kg,,Kisumu,2025-12-14
Cowpeas,-,-,-,Makutano Embu,102.00/Kg,160.00/Kg,,Embu,2025-12-13
Cowpeas,-,-,-,Ngurubani Market,102.22/Kg,160.00/Kg,1350,Kirinyaga,2025-12-12
Cowpeas,-,-,-,Kagio,100.00/Kg,160.00/Kg,,Kirinyaga,2025-12-11
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2025-12-11
Cowpeas,-,-,-,Kerugoya,95.00/Kg,130.00/Kg,2200,Kirinyaga,2025-12-10
Cowpeas,-,-,-,Kangeta,90.00/Kg,100.00/Kg,300,Meru,2025-12-10
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2025-12-10
Cowpeas,-,-,-,Ngurubani Market,50.00/Kg,80.00/Kg,17000,Kirinyaga,2025-12-09
Cowpeas,-,-,-,Holo,225.00/Kg,250.00/Kg,,Kisumu,2025-12-09
Cowpeas,-,-,-,Maua,77.78/Kg,80.00/Kg,2250,Meru,2025-12-09
Cowpeas,-,-,-,Nkubu,66.67/Kg,80.00/Kg,540,Meru,2025-12-09
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2025-12-09
Cowpeas,-,-,-,Ahero,140.00/Kg,150.00/Kg,5000,Kisumu,2025-12-08
Cowpeas,-,-,-,Kawangware,90.00/Kg,110.00/Kg,,Nairobi,2025-12-08
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2025-12-08
Cowpeas,-,-,-,Kibuye, - ,150.00/Kg,,Kisumu,2025-12-07
Cowpeas,-,-,-,Ngurubani Market,50.00/Kg,80.00/Kg,5000,Kirinyaga,2025-12-06
Cowpeas,-,-,-,Mumias, - ,125.00/Kg,,Kakamega,2025-12-05
Cowpeas,-,-,-,Gikomba,88.89/Kg,150.00/Kg,,Nairobi,2025-12-05
Cowpeas,-,-,-,Kutus,75.00/Kg,90.00/Kg,,Kirinyaga,2025-12-04
Cowpeas,-,-,-,Muhoroni,250.00/Kg,326.92/Kg,350,Kisumu,2025-12-04
