Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Dry Maize,White Maize,-,-,Ngurubani Market,50.00/Kg,60.00/Kg,4200,Kirinyaga,2026-02-11
Dry Maize,White Maize,-,-,Kakamega Town,40.00/Kg,50.00/Kg,30000,Kakamega,2026-02-11
Dry Maize,White Maize,-,-,Makutano Kirinyaga,50.00/Kg,60.00/Kg,2700,Kirinyaga,2026-02-11
Dry Maize,White Maize,-,-,Mulot,47.78/Kg,65.00/Kg,12000,Bomet,2026-02-11
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-11
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-11
Dry Maize,Mixed-Traditional ,-,-,Kitale Municipality Market,50.00/Kg,62.50/Kg,300,Trans-Nzoia,2026-02-11
Dry Maize,White Maize,-,-,Kerugoya,55.00/Kg,80.00/Kg,4500,Kirinyaga,2026-02-10
Dry Maize,Mixed-Traditional ,-,-,Bondeni,35.56/Kg,40.00/Kg,500,Trans-Nzoia,2026-02-10
Dry Maize,White Maize,-,-,Mogogosiek Market,41.67/Kg,62.50/Kg,10800,Bomet,2026-02-10
Dry Maize,White Maize,-,-,Mogogosiek Market,41.67/Kg,62.50/Kg,10800,Bomet,2026-02-10
Dry Maize,White Maize,-,-,Kapkwen,47.78/Kg,52.00/Kg,360000,Bomet,2026-02-10
Dry Maize,Yellow Maize,-,-,Holo, - ,75.00/Kg,,Kisumu,2026-02-10
Dry Maize,Mixed-Traditional ,-,-,Holo,45.56/Kg,50.00/Kg,,Kisumu,2026-02-10
Dry Maize,White Maize,-,-,Maua,55.56/Kg,60.00/Kg,6300,Meru,2026-02-10
Dry Maize,Mixed-Traditional ,-,-,Nkubu,44.44/Kg,50.00/Kg,810,Meru,2026-02-10
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-10
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-10
Dry Maize,Mixed-Traditional ,-,-,Kitale Municipality Market,50.00/Kg,60.00/Kg,400,Trans-Nzoia,2026-02-10
Dry Maize,White Maize,-,-,Ngurubani Market,50.00/Kg,60.00/Kg,4520,Kirinyaga,2026-02-09
Dry Maize,White Maize,-,-,Chebunyo,50.00/Kg,65.00/Kg,18000,Bomet,2026-02-09
Dry Maize,White Maize,-,-,Kangeta,50.00/Kg,60.00/Kg,1300,Meru,2026-02-09
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-02-09
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-09
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-09
Dry Maize,Mixed-Traditional ,-,-,Kitale Municipality Market,41.11/Kg,46.67/Kg,600,Trans-Nzoia,2026-02-09
Dry Maize,White Maize,-,-,Khayega,48.89/Kg,51.11/Kg,9000,Kakamega,2026-02-08
Dry Maize,Yellow Maize,-,-,Kibuye, - ,65.00/Kg,,Kisumu,2026-02-08
Dry Maize,White Maize,-,-,Kibuye,57.78/Kg,65.00/Kg,,Kisumu,2026-02-08
Dry Maize,White Maize,-,-,Muhoroni,40.00/Kg,48.00/Kg,5000,Kisumu,2026-02-08
Dry Maize,White Maize,-,-,Makutano Embu,40.00/Kg,60.00/Kg,,Embu,2026-02-07
Dry Maize,White Maize,-,-,Kakamega Town,42.22/Kg,60.00/Kg,10000,Kakamega,2026-02-06
Dry Maize,White Maize,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,6250,Kirinyaga,2026-02-06
Dry Maize,White Maize,-,-,Mumias, - ,59.09/Kg,,Kakamega,2026-02-06
Dry Maize,White Maize,-,-,Kangeta,50.00/Kg,60.00/Kg,1200,Meru,2026-02-06
Dry Maize,White Maize,-,-,Ndanai Market,4300.00/Kg,70.00/Kg,45000,Bomet,2026-02-06
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-02-06
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-06
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-06
Dry Maize,White Maize,-,-,Gakoromone,50.00/Kg,51.11/Kg,40000,Meru,2026-02-06
Dry Maize,White Maize,-,-,Katito,60.00/Kg,67.31/Kg,8500,Kisumu,2026-02-05
Dry Maize,White Maize,-,-,Kerugoya,55.00/Kg,80.00/Kg,4500,Kirinyaga,2026-02-05
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-02-05
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-05
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-05
Dry Maize,White Maize,-,-,Ngurubani Market,50.00/Kg,60.00/Kg,6200,Kirinyaga,2026-02-04
Dry Maize,Mixed-Traditional ,-,-,Mukuyu Market, - ,75.00/Kg,,Muranga,2026-02-04
Dry Maize,White Maize,-,-,Taveta Retail Market,40.00/Kg,50.00/Kg,2000,Taita-Taveta,2026-02-04
Dry Maize,White Maize,-,-,Mulot,50.00/Kg,70.00/Kg,5400,Bomet,2026-02-04
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-02-04
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-04
