Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Maize Flour,Ugali Afya,-,-,Nairobi Supermarkets, - ,146.50/Kg,,Nairobi,2026-02-11
Maize Flour,Soko,-,-,Nairobi Supermarkets, - ,79.50/Kg,,Nairobi,2026-02-11
Maize Flour,Raha Premium,-,-,Nairobi Supermarkets, - ,99.00/Kg,,Nairobi,2026-02-11
Maize Flour,Pembe,-,-,Nairobi Supermarkets, - ,79.50/Kg,,Nairobi,2026-02-11
Maize Flour,Ndovu,-,-,Nairobi Supermarkets, - ,70.50/Kg,,Nairobi,2026-02-11
Maize Flour,Mama,-,-,Nairobi Supermarkets, - ,76.00/Kg,,Nairobi,2026-02-11
Maize Flour,Jogoo wimbi,-,-,Nairobi Supermarkets, - ,139.50/Kg,,Nairobi,2026-02-11
Maize Flour,Jogoo,-,-,Nairobi Supermarkets, - ,83.50/Kg,,Nairobi,2026-02-11
Maize Flour,Hostess,-,-,Nairobi Supermarkets, - ,95.00/Kg,,Nairobi,2026-02-11
Maize Flour,Equatorial afya ugali,-,-,Nairobi Supermarkets, - ,136.00/Kg,,Nairobi,2026-02-11
Maize Flour,Dola,-,-,Nairobi Supermarkets, - ,77.00/Kg,,Nairobi,2026-02-11
Maize Flour,Cosmo,-,-,Nairobi Supermarkets, - ,67.50/Kg,,Nairobi,2026-02-11
Maize Flour,Amaize,-,-,Nairobi Supermarkets, - ,98.00/Kg,,Nairobi,2026-02-11
Maize Flour,Ajab,-,-,Nairobi Supermarkets, - ,84.00/Kg,,Nairobi,2026-02-11
Maize Flour,210(two ten),-,-,Nairobi Supermarkets, - ,76.50/Kg,,Nairobi,2026-02-11
Maize Flour,Ajab,-,-,Holo, - ,90.00/Kg,,Kisumu,2026-02-10
Maize Flour,Dola,-,-,Holo, - ,80.00/Kg,,Kisumu,2026-02-10
Maize Flour,Ugali Afya,-,-,Nairobi Supermarkets, - ,147.50/Kg,,Nairobi,2026-02-09
Maize Flour,Soko,-,-,Nairobi Supermarkets, - ,78.50/Kg,,Nairobi,2026-02-09
Maize Flour,Raha Premium,-,-,Nairobi Supermarkets, - ,99.00/Kg,,Nairobi,2026-02-09
Maize Flour,Pembe,-,-,Nairobi Supermarkets, - ,81.00/Kg,,Nairobi,2026-02-09
