Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Omena,Dried,-,-,Mogogosiek Market,200.00/Kg,250.00/Kg,1200,Bomet,2026-02-10
Omena,Dried,-,-,Holo, - ,300.00/Kg,,Kisumu,2026-02-10
Omena,Dried,-,-,Kibuye, - ,400.00/Kg,,Kisumu,2026-02-08
Omena,Dried,-,-,Muhoroni,461.54/Kg,615.38/Kg,900,Kisumu,2026-02-08
Omena,Dried,-,-,Mumias, - ,625.00/Kg,,Kakamega,2026-02-06
Omena,Dried,-,-,Katito,205.56/Kg,530.00/Kg,850,Kisumu,2026-02-05
Omena,Dried,-,-,Holo, - ,300.00/Kg,,Kisumu,2026-02-03
Omena,Dried,-,-,Mogogosiek Market,200.00/Kg,250.00/Kg,1300,Bomet,2026-02-03
Omena,Dried,-,-,Kibuye, - ,300.00/Kg,,Kisumu,2026-02-01
Omena,Dried,-,-,Muhoroni,423.08/Kg,576.92/Kg,1200,Kisumu,2026-02-01
Omena,Dried,-,-,Mumias, - ,564.71/Kg,,Kakamega,2026-01-30
Omena,Dried,-,-,Katito,200.00/Kg,588.24/Kg,6500,Kisumu,2026-01-29
Omena,Dried,-,-,Kinango,507.14/Kg,550.00/Kg,1400,Kwale,2026-01-29
Omena,Dried,-,-,Ahero,650.00/Kg,700.00/Kg,8000,Kisumu,2026-01-27
Omena,Dried,-,-,Holo, - ,300.00/Kg,,Kisumu,2026-01-27
Omena,Dried,-,-,Muhoroni,461.54/Kg,576.92/Kg,1500,Kisumu,2026-01-25
Omena,Dried,-,-,Kibuye, - ,300.00/Kg,,Kisumu,2026-01-25
Omena,Dried,-,-,Mumias, - ,611.11/Kg,,Kakamega,2026-01-23
Omena,Dried,-,-,Mumias, - ,611.11/Kg,,Kakamega,2026-01-23
Omena,Dried,-,-,Kinango,485.71/Kg,550.00/Kg,2100,Kwale,2026-01-22
Omena,Dried,-,-,Ahero,650.00/Kg,700.00/Kg,6000,Kisumu,2026-01-20
Omena,Dried,-,-,Mogogosiek Market,200.00/Kg,250.00/Kg,1000,Bomet,2026-01-20
Omena,Dried,-,-,Muhoroni,333.33/Kg,433.33/Kg,1000,Kisumu,2026-01-18
Omena,Dried,-,-,Mumias, - ,611.11/Kg,,Kakamega,2026-01-16
Omena,Dried,-,-,Katito,177.78/Kg,588.24/Kg,7500,Kisumu,2026-01-15
Omena,Dried,-,-,Kinango,514.29/Kg,560.00/Kg,1820,Kwale,2026-01-15
Omena,Dried,-,-,Holo, - ,300.00/Kg,,Kisumu,2026-01-13
Omena,Dried,-,-,Kibuye, - ,300.00/Kg,,Kisumu,2026-01-11
Omena,Dried,-,-,Kinango,500.00/Kg,550.00/Kg,1750,Kwale,2026-01-08
Omena,Dried,-,-,Mulot,350.00/Kg,450.00/Kg,400,Bomet,2026-01-07
Omena,Dried,-,-,Ahero,650.00/Kg,700.00/Kg,6000,Kisumu,2026-01-06
Omena,Dried,-,-,Mogogosiek Market,180.00/Kg,250.00/Kg,1600,Bomet,2026-01-06
Omena,Dried,-,-,Kibuye, - ,400.00/Kg,,Kisumu,2025-12-28
Omena,Dried,-,-,Kinango,492.86/Kg,550.00/Kg,700,Kwale,2025-12-25
Omena,Dried,-,-,Mogogosiek Market,200.00/Kg,250.00/Kg,1300,Bomet,2025-12-23
Omena,Dried,-,-,Mumias, - ,600.00/Kg,,Kakamega,2025-12-19
Omena,Dried,-,-,Mogogosiek Market,200.00/Kg,250.00/Kg,1200,Bomet,2025-12-19
Omena,Dried,-,-,Kinango,500.00/Kg,550.00/Kg,1680,Kwale,2025-12-18
Omena,Dried,-,-,Holo, - ,300.00/Kg,,Kisumu,2025-12-16
Omena,Dried,-,-,Ahero,700.00/Kg,750.00/Kg,6000,Kisumu,2025-12-16
Omena,Dried,-,-,Kibuye, - ,300.00/Kg,,Kisumu,2025-12-14
Omena,Dried,-,-,Kinango,492.86/Kg,550.00/Kg,1750,Kwale,2025-12-11
Omena,Dried,-,-,Holo, - ,300.00/Kg,,Kisumu,2025-12-09
Omena,Dried,-,-,Mogogosiek Market,200.00/Kg,250.00/Kg,1300,Bomet,2025-12-09
Omena,Dried,-,-,Kibuye, - ,300.00/Kg,,Kisumu,2025-12-07
Omena,Dried,-,-,Mogogosiek Market,200.00/Kg,250.00/Kg,1300,Bomet,2025-12-05
Omena,Dried,-,-,Mumias, - ,575.00/Kg,,Kakamega,2025-12-05
Omena,Dried,-,-,Kinango,492.86/Kg,550.00/Kg,1750,Kwale,2025-12-04
Omena,Dried,-,-,Kibuye, - ,300.00/Kg,,Kisumu,2025-11-30
Omena,Dried,-,-,Muhoroni,346.15/Kg,461.54/Kg,1000,Kisumu,2025-11-30
Omena,Dried,-,-,Mumias, - ,511.11/Kg,,Kakamega,2025-11-28
Omena,Dried,-,-,Katito,200.00/Kg,550.00/Kg,7500,Kisumu,2025-11-27
Omena,Dried,-,-,Mogogosiek Market,200.00/Kg,250.00/Kg,6000,Bomet,2025-11-27
Omena,Dried,-,-,Kinango,492.86/Kg,550.00/Kg,1750,Kwale,2025-11-27
Omena,Dried,-,-,Holo, - ,300.00/Kg,,Kisumu,2025-11-25
Omena,Dried,-,-,Kibuye, - ,300.00/Kg,,Kisumu,2025-11-23
Omena,Dried,-,-,Mumias, - ,600.00/Kg,,Kakamega,2025-11-21
Omena,Dried,-,-,Kinango,485.71/Kg,550.00/Kg,1750,Kwale,2025-11-20
Omena,Dried,-,-,Kibuye, - ,300.00/Kg,,Kisumu,2025-11-16
Omena,Dried,-,-,Mumias, - ,577.78/Kg,,Kakamega,2025-11-14
Omena,Dried,-,-,Kinango,492.86/Kg,550.00/Kg,1470,Kwale,2025-11-13
Omena,Dried,-,-,Muhoroni,423.08/Kg,615.38/Kg,1000,Kisumu,2025-11-09
Omena,Dried,-,-,Mumias, - ,687.50/Kg,,Kakamega,2025-11-07
Omena,Dried,-,-,Kinango,50.00/Kg,550.00/Kg,1540,Kwale,2025-11-06
Omena,Dried,-,-,Ahero,750.00/Kg,800.00/Kg,5000,Kisumu,2025-11-05
Omena,Dried,-,-,Wundanyi, - ,600.00/Kg,250,Taita-Taveta,2025-11-04
Omena,Dried,-,-,Mogogosiek Market,200.00/Kg,250.00/Kg,800,Bomet,2025-11-03
Omena,Dried,-,-,Kibuye, - ,400.00/Kg,,Kisumu,2025-11-02
