Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Red Irish potato,-,-,-,Kitale Municipality Market,55.00/Kg,70.00/Kg,3000,Trans-Nzoia,2026-02-11
Red Irish potato,-,-,-,Bondeni,41.33/Kg,45.33/Kg,2000,Trans-Nzoia,2026-02-10
Red Irish potato,-,-,-,Mogogosiek Market,40.00/Kg,60.00/Kg,8000,Bomet,2026-02-10
Red Irish potato,-,-,-,Kitale Municipality Market,50.00/Kg,60.00/Kg,3000,Trans-Nzoia,2026-02-10
Red Irish potato,-,-,-,Kitale Municipality Market,50.00/Kg,70.00/Kg,3000,Trans-Nzoia,2026-02-09
Red Irish potato,-,-,-,Mumias, - ,0.01/Kg,,Kakamega,2026-02-06
Red Irish potato,-,-,-,Mogogosiek Market,40.00/Kg,60.00/Kg,7000,Bomet,2026-02-03
Red Irish potato,-,-,-,Kisasi,35.00/Kg,55.00/Kg,,Kitui,2026-01-30
Red Irish potato,-,-,-,Mumias, - ,80.00/Kg,,Kakamega,2026-01-30
Red Irish potato,-,-,-,Mumias, - ,64.00/Kg,,Kakamega,2026-01-30
Red Irish potato,-,-,-,Mumias, - ,80.00/Kg,,Kakamega,2026-01-30
Red Irish potato,-,-,-,Kitale Municipality Market,50.00/Kg,70.00/Kg,1500,Trans-Nzoia,2026-01-30
Red Irish potato,-,-,-,Katito,90.00/Kg,134.62/Kg,6500,Kisumu,2026-01-29
Red Irish potato,-,-,-,Kitale Municipality Market,42.67/Kg,46.67/Kg,2000,Trans-Nzoia,2026-01-29
Red Irish potato,-,-,-,Kitale Municipality Market,60.00/Kg,75.00/Kg,1500,Trans-Nzoia,2026-01-28
Red Irish potato,-,-,-,Kitale Municipality Market,60.00/Kg,70.00/Kg,2000,Trans-Nzoia,2026-01-27
Red Irish potato,-,-,-,Mumias, - ,54.00/Kg,,Kakamega,2026-01-23
Red Irish potato,-,-,-,Mumias, - ,62.00/Kg,,Kakamega,2026-01-23
Red Irish potato,-,-,-,Kitale Municipality Market,50.00/Kg,70.00/Kg,1000,Trans-Nzoia,2026-01-23
Red Irish potato,-,-,-,Kitale Municipality Market,40.00/Kg,45.33/Kg,3000,Trans-Nzoia,2026-01-22
Red Irish potato,-,-,-,Mulot,55.56/Kg,80.00/Kg,800,Bomet,2026-01-21
Red Irish potato,-,-,-,Kitale Municipality Market,42.67/Kg,45.33/Kg,2000,Trans-Nzoia,2026-01-21
Red Irish potato,-,-,-,Bondeni,60.00/Kg,70.00/Kg,2000,Trans-Nzoia,2026-01-20
Red Irish potato,-,-,-,Ahero,50.00/Kg,60.00/Kg,3500,Kisumu,2026-01-20
Red Irish potato,-,-,-,Mogogosiek Market,40.00/Kg,50.00/Kg,8000,Bomet,2026-01-20
Red Irish potato,-,-,-,Kitale Municipality Market,60.00/Kg,70.00/Kg,3000,Trans-Nzoia,2026-01-19
Red Irish potato,-,-,-,Kisasi,60.00/Kg,100.00/Kg,,Kitui,2026-01-16
