Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Rice,Pishori,-,-,Ngurubani Market,150.00/Kg,170.00/Kg,150000,Kirinyaga,2026-02-11
Rice,Pishori,-,-,Makutano Kirinyaga,175.00/Kg,190.00/Kg,2600,Kirinyaga,2026-02-11
Rice,Sindano,-,-,Kitale Municipality Market,180.00/Kg,200.00/Kg,600,Trans-Nzoia,2026-02-11
Rice,Pishori,-,-,Kitale Municipality Market,150.00/Kg,170.00/Kg,400,Trans-Nzoia,2026-02-11
Rice,IRR,-,-,Kitale Municipality Market,130.00/Kg,150.00/Kg,500,Trans-Nzoia,2026-02-11
Rice,Pishori,-,-,Kerugoya,160.00/Kg,180.00/Kg,2300,Kirinyaga,2026-02-10
Rice,IRR,-,-,Bondeni,96.00/Kg,112.00/Kg,500,Trans-Nzoia,2026-02-10
Rice,Pishori,-,-,Holo,172.00/Kg,250.00/Kg,,Kisumu,2026-02-10
Rice,Sindano,-,-,Maua,140.00/Kg,160.00/Kg,3600,Meru,2026-02-10
Rice,Sindano,-,-,Gikomba,160.00/Kg,120.00/Kg,,Nairobi,2026-02-10
Rice,Pishori,-,-,Gikomba,160.00/Kg,160.00/Kg,,Nairobi,2026-02-10
Rice,Sindano,-,-,Kitale Municipality Market,180.00/Kg,200.00/Kg,300,Trans-Nzoia,2026-02-10
Rice,Pishori,-,-,Kitale Municipality Market,150.00/Kg,170.00/Kg,400,Trans-Nzoia,2026-02-10
Rice,IRR,-,-,Kitale Municipality Market,130.00/Kg,150.00/Kg,500,Trans-Nzoia,2026-02-10
Rice,Pishori,-,-,Ngurubani Market,150.00/Kg,170.00/Kg,135000,Kirinyaga,2026-02-09
Rice,Pishori,-,-,Kutus,160.00/Kg,170.00/Kg,,Kirinyaga,2026-02-09
Rice,Pishori,-,-,Kawangware,160.00/Kg,180.00/Kg,,Nairobi,2026-02-09
Rice,Sindano,-,-,Gikomba,160.00/Kg,120.00/Kg,,Nairobi,2026-02-09
Rice,Pishori,-,-,Gikomba,160.00/Kg,160.00/Kg,,Nairobi,2026-02-09
Rice,Sindano,-,-,Kitale Municipality Market,120.00/Kg,148.00/Kg,800,Trans-Nzoia,2026-02-09
Rice,Pishori,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,500,Trans-Nzoia,2026-02-09
Rice,IRR,-,-,Kitale Municipality Market,84.00/Kg,108.00/Kg,600,Trans-Nzoia,2026-02-09
Rice,Pishori,-,-,Kibuye, - ,175.00/Kg,,Kisumu,2026-02-08
Rice,IRR,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2026-02-08
Rice,Pishori,-,-,Makutano Embu,150.00/Kg,170.00/Kg,,Embu,2026-02-07
Rice,Pishori,-,-,Makutano Embu,80.00/Kg,85.00/Kg,,Embu,2026-02-07
Rice,Pishori,-,-,Ngurubani Market,150.00/Kg,170.00/Kg,145000,Kirinyaga,2026-02-06
Rice,Pishori,-,-,Mumias, - ,300.00/Kg,,Kakamega,2026-02-06
Rice,IRR,-,-,Mumias, - ,140.00/Kg,,Kakamega,2026-02-06
Rice,Pishori,-,-,Kawangware,160.00/Kg,180.00/Kg,,Nairobi,2026-02-06
Rice,Sindano,-,-,Gikomba,160.00/Kg,120.00/Kg,,Nairobi,2026-02-06
Rice,Pishori,-,-,Gikomba,160.00/Kg,160.00/Kg,,Nairobi,2026-02-06
Rice,Pishori,-,-,Kerugoya,155.00/Kg,180.00/Kg,2250,Kirinyaga,2026-02-05
Rice,Sindano,-,-,Gikomba,160.00/Kg,120.00/Kg,,Nairobi,2026-02-05
Rice,Pishori,-,-,Gikomba,160.00/Kg,160.00/Kg,,Nairobi,2026-02-05
Rice,Pishori,-,-,Ngurubani Market,150.00/Kg,170.00/Kg,152000,Kirinyaga,2026-02-04
Rice,Sindano,-,-,Mukuyu Market, - ,160.00/Kg,,Muranga,2026-02-04
Rice,IRR,-,-,Mukuyu Market, - ,110.00/Kg,,Muranga,2026-02-04
Rice,Pishori,-,-,Mukuyu Market, - ,180.00/Kg,,Muranga,2026-02-04
Rice,Sindano,-,-,Gikomba,160.00/Kg,120.00/Kg,,Nairobi,2026-02-04
Rice,Pishori,-,-,Gikomba,160.00/Kg,160.00/Kg,,Nairobi,2026-02-04
Rice,Pishori,-,-,Holo,172.00/Kg,250.00/Kg,,Kisumu,2026-02-03
Rice,Pishori,-,-,Kerugoya,155.00/Kg,180.00/Kg,2300,Kirinyaga,2026-02-03
Rice,Sindano,-,-,Kangemi Market, - ,160.00/Kg,,Nairobi,2026-02-03
Rice,Sindano,-,-,Gikomba,160.00/Kg,120.00/Kg,,Nairobi,2026-02-03
Rice,Pishori,-,-,Gikomba,160.00/Kg,160.00/Kg,,Nairobi,2026-02-03
Rice,Pishori,-,-,Kawangware,160.00/Kg,180.00/Kg,,Nairobi,2026-02-02
Rice,Sindano,-,-,Gikomba,160.00/Kg,120.00/Kg,,Nairobi,2026-02-02
Rice,Pishori,-,-,Gikomba,160.00/Kg,160.00/Kg,,Nairobi,2026-02-02
Rice,Pishori,-,-,Kibuye, - ,175.00/Kg,,Kisumu,2026-02-01
Rice,IRR,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2026-02-01
Rice,Pishori,-,-,Ngurubani Market,150.00/Kg,170.00/Kg,135000,Kirinyaga,2026-01-31
Rice,Pishori,-,-,Mumias, - ,240.00/Kg,,Kakamega,2026-01-30
Rice,IRR,-,-,Mumias, - ,140.00/Kg,,Kakamega,2026-01-30
