Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Spinach,-,-,-,Ngurubani Market,35.00/Kg,50.00/Kg,520,Kirinyaga,2026-02-11
Spinach,-,-,-,Makutano Kirinyaga,40.00/Kg,55.00/Kg,1140,Kirinyaga,2026-02-11
Spinach,-,-,-,Kitale Municipality Market,40.00/Kg,50.00/Kg,500,Trans-Nzoia,2026-02-11
Spinach,-,-,-,Kerugoya,25.00/Kg,45.00/Kg,180,Kirinyaga,2026-02-10
Spinach,-,-,-,Bondeni,20.00/Kg,25.00/Kg,500,Trans-Nzoia,2026-02-10
Spinach,-,-,-,Maua,30.00/Kg,50.00/Kg,300,Meru,2026-02-10
Spinach,-,-,-,Holo, - ,50.00/Kg,,Kisumu,2026-02-10
Spinach,-,-,-,Voi Retail, - ,100.00/Kg,50,Taita-Taveta,2026-02-10
Spinach,-,-,-,Diani Market,80.00/Kg,60.00/Kg,600,Kwale,2026-02-10
Spinach,-,-,-,Wundanyi, - ,50.00/Kg,400,Taita-Taveta,2026-02-10
Spinach,-,-,-,Kitale Municipality Market,20.00/Kg,25.00/Kg,400,Trans-Nzoia,2026-02-10
Spinach,-,-,-,Voi Wholesale,60.00/Kg, - ,700,Taita-Taveta,2026-02-10
Spinach,-,-,-,Ngurubani Market,35.00/Kg,50.00/Kg,350,Kirinyaga,2026-02-09
Spinach,-,-,-,Kabati - Muranga, - ,50.00/Kg,,Muranga,2026-02-09
Spinach,-,-,-,Diani Market,60.00/Kg,80.00/Kg,650,Kwale,2026-02-09
Spinach,-,-,-,Kutus,30.00/Kg,40.00/Kg,700,Kirinyaga,2026-02-09
Spinach,-,-,-,Kangeta,40.00/Kg,50.00/Kg,200,Meru,2026-02-09
Spinach,-,-,-,Kagio,25.00/Kg,40.00/Kg,1500,Kirinyaga,2026-02-09
Spinach,-,-,-,Kitale Municipality Market,2.00/Kg,26.00/Kg,500,Trans-Nzoia,2026-02-09
Spinach,-,-,-,Kibuye, - ,40.00/Kg,,Kisumu,2026-02-08
Spinach,-,-,-,Makutano Embu,30.00/Kg,45.00/Kg,,Embu,2026-02-07
Spinach,-,-,-,Mukuyu Market, - ,60.00/Kg,,Muranga,2026-02-07
Spinach,-,-,-,Makutano Kirinyaga,30.00/Kg,45.00/Kg,450,Kirinyaga,2026-02-07
Spinach,-,-,-,Ngurubani Market,40.00/Kg,50.00/Kg,450,Kirinyaga,2026-02-06
Spinach,-,-,-,Kangeta,40.00/Kg,50.00/Kg,250,Meru,2026-02-06
Spinach,-,-,-,Mumias, - ,71.43/Kg,,Kakamega,2026-02-06
Spinach,-,-,-,Voi Wholesale,60.00/Kg, - ,1000,Taita-Taveta,2026-02-06
Spinach,-,-,-,Gakoromone,25.00/Kg,30.00/Kg,4400,Meru,2026-02-06
Spinach,-,-,-,Kerugoya,25.00/Kg,50.00/Kg,160,Kirinyaga,2026-02-05
