Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Beans (Yellow-Green),-,-,-,Ngurubani Market,127.78/Kg,200.00/Kg,5420,Kirinyaga,2026-02-11
Beans (Yellow-Green),-,-,-,Mukuyu Market, - ,200.00/Kg,,Muranga,2026-02-11
Beans (Yellow-Green),-,-,-,Kitale Municipality Market,125.00/Kg,160.00/Kg,300,Trans-Nzoia,2026-02-11
Beans (Yellow-Green),-,-,-,Kerugoya,145.00/Kg,200.00/Kg,1650,Kirinyaga,2026-02-10
Beans (Yellow-Green),-,-,-,Bondeni,111.11/Kg,133.33/Kg,300,Trans-Nzoia,2026-02-10
Beans (Yellow-Green),-,-,-,Holo,225.00/Kg,250.00/Kg,,Kisumu,2026-02-10
Beans (Yellow-Green),-,-,-,Maua,122.22/Kg,150.00/Kg,1170,Meru,2026-02-10
Beans (Yellow-Green),-,-,-,Nkubu,133.33/Kg,150.00/Kg,810,Meru,2026-02-10
Beans (Yellow-Green),-,-,-,Gikomba,116.67/Kg,200.00/Kg,,Nairobi,2026-02-10
Beans (Yellow-Green),-,-,-,Kawangware,115.00/Kg,130.00/Kg,,Nairobi,2026-02-10
Beans (Yellow-Green),-,-,-,Kitale Municipality Market,125.00/Kg,150.00/Kg,300,Trans-Nzoia,2026-02-10
Beans (Yellow-Green),-,-,-,Ngurubani Market,122.22/Kg,200.00/Kg,5200,Kirinyaga,2026-02-09
Beans (Yellow-Green),-,-,-,Kangeta,140.00/Kg,150.00/Kg,150,Meru,2026-02-09
Beans (Yellow-Green),-,-,-,Kawangware,115.00/Kg,130.00/Kg,,Nairobi,2026-02-09
Beans (Yellow-Green),-,-,-,Gikomba,116.67/Kg,200.00/Kg,,Nairobi,2026-02-09
Beans (Yellow-Green),-,-,-,Kagio,144.44/Kg,220.00/Kg,,Kirinyaga,2026-02-09
Beans (Yellow-Green),-,-,-,Kitale Municipality Market,125.00/Kg,150.00/Kg,400,Trans-Nzoia,2026-02-09
Beans (Yellow-Green),-,-,-,Khayega,145.83/Kg,154.17/Kg,450,Kakamega,2026-02-08
Beans (Yellow-Green),-,-,-,Kibuye, - ,250.00/Kg,,Kisumu,2026-02-08
Beans (Yellow-Green),-,-,-,Kibuye, - ,250.00/Kg,,Kisumu,2026-02-08
Beans (Yellow-Green),-,-,-,Muhoroni,153.85/Kg,173.08/Kg,2500,Kisumu,2026-02-08
Beans (Yellow-Green),-,-,-,Makutano Embu,123.00/Kg,200.00/Kg,,Embu,2026-02-07
Beans (Yellow-Green),-,-,-,Ngurubani Market,122.22/Kg,200.00/Kg,4250,Kirinyaga,2026-02-06
Beans (Yellow-Green),-,-,-,Kangeta,140.00/Kg,150.00/Kg,200,Meru,2026-02-06
Beans (Yellow-Green),-,-,-,Gikomba,116.67/Kg,200.00/Kg,,Nairobi,2026-02-06
Beans (Yellow-Green),-,-,-,Mumias, - ,200.00/Kg,,Kakamega,2026-02-06
Beans (Yellow-Green),-,-,-,Kawangware,115.00/Kg,130.00/Kg,,Nairobi,2026-02-06
Beans (Yellow-Green),-,-,-,Katito,175.00/Kg,163.27/Kg,3500,Kisumu,2026-02-05
Beans (Yellow-Green),-,-,-,Kerugoya,150.00/Kg,200.00/Kg,1650,Kirinyaga,2026-02-05
Beans (Yellow-Green),-,-,-,Kawangware,115.00/Kg,130.00/Kg,,Nairobi,2026-02-05
Beans (Yellow-Green),-,-,-,Gikomba,116.67/Kg,200.00/Kg,,Nairobi,2026-02-05
Beans (Yellow-Green),-,-,-,Ngurubani Market,133.33/Kg,200.00/Kg,5120,Kirinyaga,2026-02-04
Beans (Yellow-Green),-,-,-,Taveta Retail Market,120.00/Kg,125.00/Kg,200,Taita-Taveta,2026-02-04
Beans (Yellow-Green),-,-,-,Mulot,116.67/Kg,150.00/Kg,800,Bomet,2026-02-04
Beans (Yellow-Green),-,-,-,Kawangware,115.00/Kg,130.00/Kg,,Nairobi,2026-02-04
Beans (Yellow-Green),-,-,-,Gikomba,116.67/Kg,200.00/Kg,,Nairobi,2026-02-04
Beans (Yellow-Green),-,-,-,Maua,0.01/Kg,150.00/Kg,900,Meru,2026-02-03
Beans (Yellow-Green),-,-,-,Holo,225.00/Kg,250.00/Kg,,Kisumu,2026-02-03
Beans (Yellow-Green),-,-,-,Kerugoya,150.00/Kg,200.00/Kg,1650,Kirinyaga,2026-02-03
Beans (Yellow-Green),-,-,-,Mogogosiek Market,150.00/Kg,180.00/Kg,3000,Bomet,2026-02-03
