Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Cabbages,-,-,-,Ngurubani Market,30.00/Kg,40.00/Kg,24500,Kirinyaga,2026-02-11
Cabbages,-,-,-,Kakamega Town,22.22/Kg,33.33/Kg,15000,Kakamega,2026-02-11
Cabbages,-,-,-,Kitale Municipality Market,15.00/Kg,25.00/Kg,5000,Trans-Nzoia,2026-02-11
Cabbages,-,-,-,Kerugoya,12.00/Kg,20.00/Kg,400,Kirinyaga,2026-02-10
Cabbages,-,-,-,Bondeni,20.00/Kg,33.33/Kg,8000,Trans-Nzoia,2026-02-10
Cabbages,-,-,-,Mogogosiek Market,15.00/Kg,20.00/Kg,4600,Bomet,2026-02-10
Cabbages,-,-,-,Kapkwen,20.00/Kg,30.00/Kg,13000,Bomet,2026-02-10
Cabbages,-,-,-,Holo, - ,80.00/Kg,,Kisumu,2026-02-10
Cabbages,-,-,-,Voi Retail, - ,70.00/Kg,100,Taita-Taveta,2026-02-10
Cabbages,-,-,-,Nkubu,6.00/Kg,40.00/Kg,6000,Meru,2026-02-10
Cabbages,-,-,-,Wundanyi, - ,40.00/Kg,2000,Taita-Taveta,2026-02-10
Cabbages,-,-,-,Voi Wholesale,20.00/Kg, - ,4500,Taita-Taveta,2026-02-10
Cabbages,-,-,-,Kitale Municipality Market,26.67/Kg,33.33/Kg,8000,Trans-Nzoia,2026-02-10
Cabbages,-,-,-,Ngurubani Market,30.00/Kg,35.00/Kg,18500,Kirinyaga,2026-02-09
Cabbages,-,-,-,Kabati - Muranga, - ,33.33/Kg,,Muranga,2026-02-09
Cabbages,-,-,-,Kutus,25.00/Kg,30.00/Kg,15000,Kirinyaga,2026-02-09
Cabbages,-,-,-,Chebunyo,10.00/Kg,20.00/Kg,15000,Bomet,2026-02-09
Cabbages,-,-,-,Kangeta,25.00/Kg,30.00/Kg,3000,Meru,2026-02-09
Cabbages,-,-,-,Kagio,15.00/Kg,20.00/Kg,30000,Kirinyaga,2026-02-09
Cabbages,-,-,-,Kitale Municipality Market,15.00/Kg,25.00/Kg,10000,Trans-Nzoia,2026-02-09
Cabbages,-,-,-,Khayega,20.00/Kg,24.00/Kg,2000,Kakamega,2026-02-08
Cabbages,-,-,-,Kibuye, - ,50.00/Kg,,Kisumu,2026-02-08
Cabbages,-,-,-,Muhoroni,25.00/Kg,37.50/Kg,12000,Kisumu,2026-02-08
Cabbages,-,-,-,Mukuyu Market, - ,70.00/Kg,,Muranga,2026-02-07
Cabbages,-,-,-,Kakamega Town,23.33/Kg,33.33/Kg,5000,Kakamega,2026-02-06
Cabbages,-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,21000,Kirinyaga,2026-02-06
Cabbages,-,-,-,Lungalunga,80.00/Kg,100.00/Kg,10000,Kwale,2026-02-06
Cabbages,-,-,-,Kangeta,20.00/Kg,25.00/Kg,2500,Meru,2026-02-06
Cabbages,-,-,-,Ndanai Market,20.00/Kg,30.00/Kg,15000,Bomet,2026-02-06
Cabbages,-,-,-,Mumias, - ,18.18/Kg,,Kakamega,2026-02-06
Cabbages,-,-,-,Gakoromone,16.67/Kg,18.33/Kg,32000,Meru,2026-02-06
Cabbages,-,-,-,Voi Wholesale,20.00/Kg, - ,4500,Taita-Taveta,2026-02-06
Cabbages,-,-,-,Kerugoya,22.00/Kg,35.00/Kg,350,Kirinyaga,2026-02-05
Cabbages,-,-,-,Kinango,28.00/Kg,40.00/Kg,1500,Kwale,2026-02-05
Cabbages,-,-,-,Kagio,20.00/Kg,25.00/Kg,30000,Kirinyaga,2026-02-05
Cabbages,-,-,-,Ngurubani Market,25.00/Kg,32.00/Kg,18500,Kirinyaga,2026-02-04
Cabbages,-,-,-,Makutano Kirinyaga,31.03/Kg,41.38/Kg,1800,Kirinyaga,2026-02-04
Cabbages,-,-,-,Kakamega Town,20.00/Kg,33.33/Kg,4000,Kakamega,2026-02-04
Cabbages,-,-,-,Mulot,20.00/Kg,30.00/Kg,3000,Bomet,2026-02-04
Cabbages,-,-,-,Maua,15.00/Kg,25.00/Kg,18000,Meru,2026-02-03
Cabbages,-,-,-,Holo, - ,80.00/Kg,,Kisumu,2026-02-03
Cabbages,-,-,-,Kerugoya,22.00/Kg,30.00/Kg,350,Kirinyaga,2026-02-03
Cabbages,-,-,-,Mogogosiek Market,15.00/Kg,20.00/Kg,3000,Bomet,2026-02-03
Cabbages,-,-,-,Nkubu,6.00/Kg,40.00/Kg,8000,Meru,2026-02-03
Cabbages,-,-,-,Kapkwen,20.00/Kg,26.67/Kg,3200,Bomet,2026-02-03
Cabbages,-,-,-,Voi Retail, - ,70.00/Kg,100,Taita-Taveta,2026-02-03
Cabbages,-,-,-,Kagio,20.00/Kg,30.00/Kg,24000,Kirinyaga,2026-02-02
Cabbages,-,-,-,Kibuye, - ,58.33/Kg,,Kisumu,2026-02-01
Cabbages,-,-,-,Muhoroni,25.00/Kg,30.00/Kg,3000,Kisumu,2026-02-01
Cabbages,-,-,-,Khayega,25.00/Kg,30.00/Kg,2300,Kakamega,2026-02-01
Cabbages,-,-,-,Ngurubani Market,28.00/Kg,35.00/Kg,18900,Kirinyaga,2026-01-31
Cabbages,-,-,-,Ndanai Market,20.00/Kg,15.00/Kg,9000,Bomet,2026-01-30
Cabbages,-,-,-,Kisasi,21.00/Kg,23.00/Kg,,Kitui,2026-01-30
Cabbages,-,-,-,Lungalunga,50.00/Kg,100.00/Kg,5000,Kwale,2026-01-30
Cabbages,-,-,-,Lungalunga,80.00/Kg,100.00/Kg,5000,Kwale,2026-01-30
Cabbages,-,-,-,Kagio,20.00/Kg,30.00/Kg,27000,Kirinyaga,2026-01-30
Cabbages,-,-,-,Mumias, - ,41.67/Kg,,Kakamega,2026-01-30
Cabbages,-,-,-,Kitale Municipality Market,33.33/Kg,50.00/Kg,3000,Trans-Nzoia,2026-01-30
Cabbages,-,-,-,Wundanyi, - ,40.00/Kg,1000,Taita-Taveta,2026-01-30
Cabbages,-,-,-,Gakoromone,16.67/Kg,18.33/Kg,18000,Meru,2026-01-30
Cabbages,-,-,-,Katito,21.17/Kg,28.23/Kg,5300,Kisumu,2026-01-29
Cabbages,-,-,-,Kutus,25.00/Kg,30.00/Kg,7800,Kirinyaga,2026-01-29
Cabbages,-,-,-,Kinango,25.00/Kg,33.33/Kg,1500,Kwale,2026-01-29
Cabbages,-,-,-,Kerugoya,22.00/Kg,30.00/Kg,300,Kirinyaga,2026-01-29
Cabbages,-,-,-,Diani Market,80.00/Kg,100.00/Kg,1500,Kwale,2026-01-29
Cabbages,-,-,-,Kitale Municipality Market,26.67/Kg,46.67/Kg,6000,Trans-Nzoia,2026-01-29
Cabbages,-,-,-,Mulot,20.00/Kg,30.00/Kg,2500,Bomet,2026-01-28
Cabbages,-,-,-,Kakamega Town,23.33/Kg,40.00/Kg,3000,Kakamega,2026-01-28
Cabbages,-,-,-,Sabatia,28.57/Kg,35.71/Kg,5967,Kakamega,2026-01-28
