Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Banana (Cooking),-,-,-,Ngurubani Market,25.00/Kg,35.00/Kg,2500,Kirinyaga,2026-02-11
Banana (Cooking),-,-,-,Kitale Municipality Market,60.00/Kg,70.00/Kg,5000,Trans-Nzoia,2026-02-11
Banana (Cooking),-,-,-,Kerugoya,16.00/Kg,30.00/Kg,750,Kirinyaga,2026-02-10
Banana (Cooking),-,-,-,Bondeni,60.00/Kg,70.00/Kg,5000,Trans-Nzoia,2026-02-10
Banana (Cooking),-,-,-,Mogogosiek Market,60.00/Kg,80.00/Kg,600,Bomet,2026-02-10
Banana (Cooking),-,-,-,Holo,68.00/Kg, - ,,Kisumu,2026-02-10
Banana (Cooking),-,-,-,Voi Retail, - ,15.00/Kg,200,Taita-Taveta,2026-02-10
Banana (Cooking),-,-,-,Wundanyi, - ,100.00/Kg,500,Taita-Taveta,2026-02-10
Banana (Cooking),-,-,-,Voi Wholesale,40.00/Kg, - ,900,Taita-Taveta,2026-02-10
Banana (Cooking),-,-,-,Voi Wholesale,35.00/Kg, - ,2000,Taita-Taveta,2026-02-10
Banana (Cooking),-,-,-,Kitale Municipality Market,60.00/Kg,70.00/Kg,5000,Trans-Nzoia,2026-02-10
Banana (Cooking),-,-,-,Ngurubani Market,25.00/Kg,33.00/Kg,2500,Kirinyaga,2026-02-09
Banana (Cooking),-,-,-,Kabati - Muranga,18.00/Kg,35.00/Kg,,Muranga,2026-02-09
Banana (Cooking),-,-,-,Kutus,17.00/Kg,20.00/Kg,10000,Kirinyaga,2026-02-09
Banana (Cooking),-,-,-,Kangeta,25.00/Kg,30.00/Kg,550,Meru,2026-02-09
Banana (Cooking),-,-,-,Kagio,30.00/Kg,50.00/Kg,23000,Kirinyaga,2026-02-09
Banana (Cooking),-,-,-,Kitale Municipality Market,60.00/Kg,70.00/Kg,10000,Trans-Nzoia,2026-02-09
Banana (Cooking),-,-,-,Kibuye,21.88/Kg, - ,,Kisumu,2026-02-08
Banana (Cooking),-,-,-,Muhoroni,30.00/Kg,35.00/Kg,1000,Kisumu,2026-02-08
Banana (Cooking),-,-,-,Makutano Embu,25.00/Kg,40.00/Kg,,Embu,2026-02-07
Banana (Cooking),-,-,-,Makutano Kirinyaga,25.00/Kg,40.00/Kg,1450,Kirinyaga,2026-02-07
Banana (Cooking),-,-,-,Ngurubani Market,25.00/Kg,35.00/Kg,2500,Kirinyaga,2026-02-06
Banana (Cooking),-,-,-,Kangeta,25.00/Kg,30.00/Kg,500,Meru,2026-02-06
Banana (Cooking),-,-,-,Mumias, - ,31.25/Kg,,Kakamega,2026-02-06
Banana (Cooking),-,-,-,Gakoromone,15.00/Kg,20.00/Kg,14000,Meru,2026-02-06
Banana (Cooking),-,-,-,Voi Wholesale,40.00/Kg, - ,2100,Taita-Taveta,2026-02-06
Banana (Cooking),-,-,-,Katito,28.13/Kg,60.00/Kg,1500,Kisumu,2026-02-05
Banana (Cooking),-,-,-,Kerugoya,16.00/Kg,30.00/Kg,800,Kirinyaga,2026-02-05
Banana (Cooking),-,-,-,Kinango,46.67/Kg,65.00/Kg,700,Kwale,2026-02-05
Banana (Cooking),-,-,-,Kagio,40.00/Kg,60.00/Kg,26000,Kirinyaga,2026-02-05
Banana (Cooking),-,-,-,Ngurubani Market,23.00/Kg,28.00/Kg,5200,Kirinyaga,2026-02-04
Banana (Cooking),-,-,-,Kabati - Muranga,20.00/Kg,38.00/Kg,,Muranga,2026-02-04
Banana (Cooking),-,-,-,Holo,60.00/Kg, - ,,Kisumu,2026-02-03
Banana (Cooking),-,-,-,Kerugoya,15.00/Kg,30.00/Kg,800,Kirinyaga,2026-02-03
Banana (Cooking),-,-,-,Mogogosiek Market,60.00/Kg,80.00/Kg,600,Bomet,2026-02-03
Banana (Cooking),-,-,-,Kutus,17.00/Kg,20.00/Kg,,Kirinyaga,2026-02-02
Banana (Cooking),-,-,-,Kagio,25.00/Kg,40.00/Kg,23000,Kirinyaga,2026-02-02
Banana (Cooking),-,-,-,Kibuye,28.00/Kg, - ,,Kisumu,2026-02-01
Banana (Cooking),-,-,-,Muhoroni,30.00/Kg,35.00/Kg,800,Kisumu,2026-02-01
Banana (Cooking),-,-,-,Makutano Embu,30.00/Kg,50.00/Kg,,Embu,2026-01-31
Banana (Cooking),-,-,-,Ngurubani Market,25.00/Kg,35.00/Kg,2250,Kirinyaga,2026-01-31
Banana (Cooking),-,-,-,Makutano Kirinyaga,30.00/Kg,50.00/Kg,1250,Kirinyaga,2026-01-31
Banana (Cooking),-,-,-,Kabati - Muranga,18.00/Kg,35.00/Kg,,Muranga,2026-01-31
Banana (Cooking),-,-,-,Kisasi,19.00/Kg,32.00/Kg,,Kitui,2026-01-30
Banana (Cooking),-,-,-,Kagio,35.00/Kg,50.00/Kg,35000,Kirinyaga,2026-01-30
Banana (Cooking),-,-,-,Mumias, - ,27.78/Kg,,Kakamega,2026-01-30
Banana (Cooking),-,-,-,Kitale Municipality Market,60.00/Kg,70.00/Kg,3000,Trans-Nzoia,2026-01-30
Banana (Cooking),-,-,-,Wundanyi, - ,100.00/Kg,400,Taita-Taveta,2026-01-30
