Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Finger Millet,-,-,-,Mulot,102.22/Kg,175.00/Kg,900,Bomet,2026-02-11
Finger Millet,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,200,Trans-Nzoia,2026-02-11
Finger Millet,-,-,-,Bondeni,100.00/Kg,108.89/Kg,300,Trans-Nzoia,2026-02-10
Finger Millet,-,-,-,Holo,150.00/Kg,175.00/Kg,,Kisumu,2026-02-10
Finger Millet,-,-,-,Maua,100.00/Kg,120.00/Kg,2200,Meru,2026-02-10
Finger Millet,-,-,-,Nkubu,111.11/Kg,120.00/Kg,630,Meru,2026-02-10
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-02-10
Finger Millet,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,200,Trans-Nzoia,2026-02-10
Finger Millet,-,-,-,Kawangware,54.00/Kg,90.00/Kg,,Nairobi,2026-02-09
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-02-09
Finger Millet,-,-,-,Kitale Municipality Market,150.00/Kg,175.00/Kg,400,Trans-Nzoia,2026-02-09
Finger Millet,-,-,-,Kibuye, - ,200.00/Kg,,Kisumu,2026-02-08
Finger Millet,-,-,-,Muhoroni, - ,140.00/Kg,2000,Kisumu,2026-02-08
Finger Millet,-,-,-,Mumias, - ,166.67/Kg,,Kakamega,2026-02-06
Finger Millet,-,-,-,Kawangware,54.00/Kg,90.00/Kg,,Nairobi,2026-02-06
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-02-06
Finger Millet,-,-,-,Katito,150.00/Kg,145.83/Kg,3500,Kisumu,2026-02-05
Finger Millet,-,-,-,Kawangware,54.00/Kg,90.00/Kg,,Nairobi,2026-02-05
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-02-05
Finger Millet,-,-,-,Kawangware,54.00/Kg,90.00/Kg,,Nairobi,2026-02-04
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-02-04
Finger Millet,-,-,-,Maua,100.00/Kg,120.00/Kg,2400,Meru,2026-02-03
Finger Millet,-,-,-,Holo,150.00/Kg,175.00/Kg,,Kisumu,2026-02-03
Finger Millet,-,-,-,Nkubu,122.22/Kg,130.00/Kg,270,Meru,2026-02-03
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-02-03
Finger Millet,-,-,-,Kawangware,54.00/Kg,90.00/Kg,,Nairobi,2026-02-02
Finger Millet,-,-,-,Gikomba,83.33/Kg,100.00/Kg,,Nairobi,2026-02-02
Finger Millet,-,-,-,Kibuye, - ,200.00/Kg,,Kisumu,2026-02-01
Finger Millet,-,-,-,Muhoroni, - ,152.17/Kg,1200,Kisumu,2026-02-01
Finger Millet,-,-,-,Khayega,108.70/Kg,117.39/Kg,900,Kakamega,2026-02-01
Finger Millet,-,-,-,Kisasi,70.00/Kg,80.00/Kg,,Kitui,2026-01-30
Finger Millet,-,-,-,Mumias, - ,166.67/Kg,,Kakamega,2026-01-30
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-01-30
Finger Millet,-,-,-,Kitale Municipality Market,125.00/Kg,150.00/Kg,200,Trans-Nzoia,2026-01-30
Finger Millet,-,-,-,Katito,150.00/Kg,179.49/Kg,3500,Kisumu,2026-01-29
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-01-29
Finger Millet,-,-,-,Kawangware,54.00/Kg,90.00/Kg,,Nairobi,2026-01-29
Finger Millet,-,-,-,Kitale Municipality Market,125.00/Kg,160.00/Kg,400,Trans-Nzoia,2026-01-29
Finger Millet,-,-,-,Sabatia,111.11/Kg,121.74/Kg,810,Kakamega,2026-01-28
Finger Millet,-,-,-,Kawangware,54.00/Kg,90.00/Kg,,Nairobi,2026-01-28
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-01-28
Finger Millet,-,-,-,Holo,150.00/Kg,175.00/Kg,,Kisumu,2026-01-27
Finger Millet,-,-,-,Ahero,165.00/Kg,170.00/Kg,3900,Kisumu,2026-01-27
Finger Millet,-,-,-,Bondeni,125.00/Kg,150.00/Kg,300,Trans-Nzoia,2026-01-27
Finger Millet,-,-,-,Kangemi Market, - ,120.00/Kg,,Nairobi,2026-01-27
Finger Millet,-,-,-,Maua,100.00/Kg,120.00/Kg,2900,Meru,2026-01-27
Finger Millet,-,-,-,Nkubu,111.11/Kg,120.00/Kg,450,Meru,2026-01-27
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-01-27
Finger Millet,-,-,-,Kawangware,54.00/Kg,90.00/Kg,,Nairobi,2026-01-27
Finger Millet,-,-,-,Kitale Municipality Market,125.00/Kg,160.00/Kg,300,Trans-Nzoia,2026-01-27
Finger Millet,-,-,-,Kagio,140.00/Kg,165.00/Kg,,Kirinyaga,2026-01-26
Finger Millet,-,-,-,Gikomba,83.33/Kg,140.00/Kg,,Nairobi,2026-01-26
Finger Millet,-,-,-,Kibuye, - ,200.00/Kg,,Kisumu,2026-01-25
